"","anime_id","name","main_genre","type","episodes","rating","members","rating_10","rating_100","rating_1000"
"1",32281,"Kimi no Na wa.","Drama","Movie",1,9.37,200630,9.37,127.757655745726,937
"2",15335,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare","Action","Movie",1,9.1,72534,9.1,121.678125747183,910
"3",28851,"Koe no Katachi","Drama","Movie",1,9.05,102733,9.05,120.55190290468,905
"4",199,"Sen to Chihiro no Kamikakushi","Adventure","Movie",1,8.93,466254,8.93,121.488097274591,893
"5",12355,"Ookami Kodomo no Ame to Yuki","Fantasy","Movie",1,8.84,226193,8.84,130.12103314145,884
"6",164,"Mononoke Hime","Action","Movie",1,8.81,339556,8.81,125.611472063552,881
"7",7311,"Suzumiya Haruhi no Shoushitsu","Comedy","Movie",1,8.81,240297,8.81,125.816583121506,881
"8",28957,"Mushishi Zoku Shou: Suzu no Shizuku","Adventure","Movie",1,8.75,32266,8.75,119.944823962398,875
"9",431,"Howl no Ugoku Shiro","Adventure","Movie",1,8.74,333186,8.74,115.975954208174,874
"10",31757,"Kizumonogatari II: Nekketsu-hen","Action","Movie",1,8.73,34347,8.73,120.02550367831,873
"11",4282,"Kara no Kyoukai 5: Mujun Rasen","Action","Movie",1,8.68,111074,8.68,125.410484933585,868
"12",21329,"Mushishi Special: Hihamukage","Adventure","Special",1,8.66,49036,8.66,120.902647163163,866
"13",4565,"Tengen Toppa Gurren Lagann Movie: Lagann-hen","Action","Movie",1,8.64,82253,8.64,119.59269439221,864
"14",11577,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Sci-Fi","Movie",1,8.61,192424,8.61,116.247492897677,861
"15",10408,"Hotarubi no Mori e","Drama","Movie",1,8.61,197439,8.61,120.157326922656,861
"16",7472,"Gintama Movie: Shinyaku Benizakura-hen","Action","Movie",1,8.59,51185,8.59,119.086059985081,859
"17",28805,"Bakemono no Ko","Adventure","Movie",1,8.58,80825,8.58,123.618078331316,858
"18",578,"Hotaru no Haka","Drama","Movie",1,8.58,174878,8.58,123.123740706699,858
"19",5205,"Kara no Kyoukai 7: Satsujin Kousatsu (Kou)","Action","Movie",1,8.57,95658,8.57,122.152312343768,857
"20",18617,"Girls und Panzer der Film","Military","Movie",1,8.55,25641,8.55,118.262844260999,855
